img_src,name,type,color,side_panel,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/bb1d2107ac34c2309635712235c82e06.256p.jpg,Deepcool MATREXX 30,MicroATX Mini ,Black,Tempered Glass,29.9,https://es.pcpartpicker.com/product/Pdprxr/deepcool-matrexx-30-microatx-mini-tower-case-matrexx-30,21,3.6
https://images-na.ssl-images-amazon.com/images/I/41cHw25nGfL.jpg,Lian Li LanCool PC-K57,ATX Mid ,Black,,34.04,https://es.pcpartpicker.com/product/hPphP6/lian-li-case-pck57,1,5
https://m.media-amazon.com/images/I/41yzFlZoDHL.jpg,Zalman T6,ATX Mid ,Black,,46.03,https://es.pcpartpicker.com/product/P7xRsY/zalman-t6-atx-mid-tower-case-t6,1,5
https://images-na.ssl-images-amazon.com/images/I/31Jtz1AcBIL.jpg,Antec VSK3000B U3,MicroATX Mini ,Black,,47.79,https://es.pcpartpicker.com/product/8qs8TW/antec-case-vsk3000bu3,1,3
//cdna.pcpartpicker.com/static/forever/images/product/b9f53fa6d3dedcf9f18c0cbf92d99cdf.256p.jpg,Antec NX200M,MicroATX Mid ,Black,Tempered Glass,50.9,https://es.pcpartpicker.com/product/3f2WGX/antec-nx200m-microatx-mid-tower-case-nx200m,2,5
//cdna.pcpartpicker.com/static/forever/images/product/43788295d3aec0af00572e8766dcb492.256p.jpg,Deepcool MATREXX 40 3FS,MicroATX Mid ,Black,Tempered Glass,51.85,https://es.pcpartpicker.com/product/36gFf7/deepcool-matrexx-40-3fs-microatx-mid-tower-case-dp-matx-matrexx40-3fs,2,4
https://m.media-amazon.com/images/I/4197dJCAlNL.jpg,Silverstone SG05BB-450-USB3.0,Mini ITX Desktop,Black,,53.19,https://es.pcpartpicker.com/product/RRDwrH/silverstone-case-sg05bblite,5,3.8
//cdna.pcpartpicker.com/static/forever/images/product/4fb0b430e3dab25c57cd607ee74868b3.256p.jpg,Aerocool Bolt,ATX Mid ,Black,Acrylic,53.49,https://es.pcpartpicker.com/product/FKpmP6/aerocool-bolt-atx-mid-tower-case-bolt,2,2.5
//cdna.pcpartpicker.com/static/forever/images/product/3712e291ab2abee5e0257012e5cad67b.256p.jpg,Aerocool Shard,ATX Mid ,Black,Acrylic,54.62,https://es.pcpartpicker.com/product/7MbCmG/aerocool-shard-atx-mid-tower-case-shard,1,4
https://images-na.ssl-images-amazon.com/images/I/41OusKxhPNL.jpg,In Win MANA137,ATX Mid ,Black,,55.09,https://es.pcpartpicker.com/product/vDLypg/inwin-case-mana137,1,4
