img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/ab31eff2865edb93498c3ab8707d4c71.256p.jpg,Intel Pentium Gold G6400,2,4,,58,Intel UHD Graphics 610,63.81,https://es.pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400,LGA1200,2,5
//cdna.pcpartpicker.com/static/forever/images/product/6be6a2a6df1721fef27435a91c501521.256p.jpg,Intel Celeron G5900,2,3.4,,58,Intel UHD Graphics 610,66.98,https://es.pcpartpicker.com/product/37gQzy/intel-celeron-g5900-34-ghz-dual-core-processor-bx80701g5900,LGA1200,3,5
//cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,Intel Core i3-10100F,4,3.6,4.3,65,,71.4,https://es.pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,LGA1200,19,4.8
//cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,Intel Core i3-10105F,4,3.7,4.4,65,,76.97,https://es.pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f,LGA1200,3,5
https://m.media-amazon.com/images/I/41T-2ioP-ML.jpg,Intel Core 2 Quad Q6600,4,2.4,,100,,77.94,https://es.pcpartpicker.com/product/2vGkcf/intel-cpu-hh80562ph0568m,LGA775,6,4.2
//cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,AMD Ryzen 5 4500,6,3.6,4.1,65,,84.48,https://es.pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,AM4,1,5
//cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,AMD Ryzen 3 3200G,4,3.6,4,65,Radeon Vega 8,90.98,https://es.pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,AM4,64,4.8
https://images-na.ssl-images-amazon.com/images/I/31Y3ryGpQbL.jpg,Intel Core 2 Duo E8400,2,3,,65,,91.09,https://es.pcpartpicker.com/product/Kwbp99/intel-cpu-eu80570pj0806m,LGA775,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/f55fe8a2443698085e9d8d2997cc3173.256p.jpg,AMD Athlon 200GE,2,3.2,,35,Radeon Vega 3,94.8,https://es.pcpartpicker.com/product/dFhKHx/amd-athlon-200ge-32ghz-dual-core-processor-yd200gc6fbbox,AM4,16,4.8
https://m.media-amazon.com/images/I/51yXoOSQezL.jpg,Intel Core i3-3250,2,3.5,,55,Intel HD Graphics 2500,97.84,https://es.pcpartpicker.com/product/TB2kcf/intel-cpu-bx80637i33250,LGA1155,1,5
//cdna.pcpartpicker.com/static/forever/images/product/eb5b7bb7afe60da16bd99b1aeabfab09.256p.jpg,AMD FX-9370,8,4.4,4.7,220,,99.97,https://es.pcpartpicker.com/product/tgkD4D/amd-cpu-fd9370fhhkwof,AM3+,9,4.4
https://images-na.ssl-images-amazon.com/images/I/51pVI%2BcdnNL.jpg,Intel Core 2 Duo E8500,2,3.16,,65,,101.78,https://es.pcpartpicker.com/product/FvGkcf/intel-cpu-bx80570e8500,LGA775,1,5
//cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,Intel Core i5-10400F,6,2.9,4.3,65,,108,https://es.pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,LGA1200,50,4.8
//cdna.pcpartpicker.com/static/forever/images/product/c96e3edad99c0ec51123f5b9c2d4a811.256p.jpg,Intel Pentium G4400,2,3.3,,54,Intel HD Graphics 510,109,https://es.pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,LGA1151,32,4.4
//cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,Intel Core i3-12100F,4,3.3,4.3,58,,109.3,https://es.pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,LGA1700,15,4.9
https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,Intel Core i3-10100,4,3.6,4.3,65,Intel UHD Graphics 630,110.65,https://es.pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,LGA1200,38,4.8
//cdna.pcpartpicker.com/static/forever/images/product/29ffd579cd750d1f43cba3ba1c578d8c.256p.jpg,AMD Ryzen 5 4600G,6,3.7,4.2,65,Radeon Vega 7,114.89,https://es.pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,AM4,2,5
https://m.media-amazon.com/images/I/515PHOORs-L.jpg,AMD Athlon II X2 220,2,2.8,,65,,115,https://es.pcpartpicker.com/product/CRtCmG/amd-cpu-adx220ock22gm,AM3,1,3
//cdna.pcpartpicker.com/static/forever/images/product/f4e07d2c312edb86a1afe494ed5cd645.256p.jpg,Intel Core i3-10105,4,3.7,4.4,65,Intel UHD Graphics 630,119,https://es.pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105,LGA1200,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,AMD Ryzen 5 5500,6,3.6,4.2,65,,120.11,https://es.pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,AM4,8,4.8
https://images-na.ssl-images-amazon.com/images/I/417py4oLqfL.jpg,Intel Xeon E5-2670,8,2.6,3.3,115,,125.99,https://es.pcpartpicker.com/product/rBkD4D/intel-cpu-bx80621e52670,LGA2011,6,4.8
//cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg,AMD Ryzen 5 3600,6,3.6,4.2,65,,127.85,https://es.pcpartpicker.com/product/Rnm323/amd-ryzen-5-3600-36-thz-6-core-oemtray-processor-100-000000031,AM4,1,5
//cdna.pcpartpicker.com/static/forever/images/product/7fc9bd473f09de3bff4a5a44e832f399.256p.jpg,Intel Core i3-12100,4,3.3,4.3,60,Intel UHD Graphics 730,128.38,https://es.pcpartpicker.com/product/qrhFf7/intel-core-i3-12100-33-ghz-quad-core-processor-bx8071512100,LGA1700,4,4.8
//cdna.pcpartpicker.com/static/forever/images/product/c18ee131d4d211b2ad40882e5b997371.256p.jpg,Intel Core i5-10400,6,2.9,4.3,65,Intel UHD Graphics 630,133.4,https://es.pcpartpicker.com/product/X8snTW/intel-core-i5-10400-29-ghz-6-core-processor-bx8070110400,LGA1200,54,4.8
//cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,AMD Ryzen 5 5600G,6,3.9,4.4,65,Radeon Vega 7,135.39,https://es.pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,AM4,78,4.8
https://m.media-amazon.com/images/I/51pVI+cdnNL.jpg,Intel Core 2 Duo E7500,2,2.93,,65,,138.79,https://es.pcpartpicker.com/product/dLNp99/intel-cpu-bx80571e7500,LGA775,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/1cd42b90d913aa4fe2338eb376fd3e2d.256p.jpg,Intel Core i5-11400F,6,2.6,4.4,65,,139.13,https://es.pcpartpicker.com/product/qp2WGX/intel-core-i5-11400f-26-ghz-6-core-processor-bx8070811400f,LGA1200,15,4.7
https://m.media-amazon.com/images/I/51KAbpUr9sL.jpg,Intel Pentium G3258,2,3.2,,53,Intel HD Graphics,149.53,https://es.pcpartpicker.com/product/fKCwrH/intel-cpu-bx80646g3258,LGA1150,159,4.8
//cdna.pcpartpicker.com/static/forever/images/product/03f161573f98c93ea9f3e36c4254956e.256p.jpg,AMD Ryzen 5 3600,6,3.6,4.2,65,,149.99,https://es.pcpartpicker.com/product/Mt92FT/amd-ryzen-5-3600-36-ghz-6-core-oemtray-processor-100-100000031mpk,AM4,1,5
https://images-na.ssl-images-amazon.com/images/I/51LL-2d6xoL.jpg,AMD A8-6600K,4,3.9,,100,Radeon HD 8570D,151,https://es.pcpartpicker.com/product/fb7wrH/amd-cpu-ad660kwohlbox,FM2,21,4.6
//cdna.pcpartpicker.com/static/forever/images/product/7714a4b585034b6e4a3f2e230c2806f8.256p.jpg,AMD Ryzen 3 1200 (14nm),4,3.1,3.4,65,,151.56,https://es.pcpartpicker.com/product/TX4NnQ/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd1200bbaebox,AM4,70,4.9
//cdna.pcpartpicker.com/static/forever/images/product/a00d61cff204084081cdafdb26f36d1e.256p.jpg,AMD FX-6350,6,3.9,,125,,152.4,https://es.pcpartpicker.com/product/ZFs8TW/amd-fx-6350-39ghz-6-core-processor-fd6350frhkhbx,AM3+,1,4
//cdna.pcpartpicker.com/static/forever/images/product/f5a45cd5b3a3c4364da8141e7ba9dec4.256p.jpg,Intel Celeron G4900,2,3.1,,65,Intel UHD Graphics 610,155,https://es.pcpartpicker.com/product/y8448d/intel-celeron-g4900-31ghz-dual-core-processor-bx80684g4900,LGA1151,2,4.5
/static/forever/img/no-image.png,AMD Phenom II X4 830,4,2.8,,95,,157.04,https://es.pcpartpicker.com/product/qLR48d/amd-cpu-hdx830wfk4dgm,AM3,3,3.7
//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,AMD Ryzen 5 5600,6,3.5,4.4,65,,159.89,https://es.pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,AM4,49,5
https://m.media-amazon.com/images/I/51bvpEY2dNL.jpg,Intel Pentium E5300,2,2.6,,65,,163.63,https://es.pcpartpicker.com/product/thXfrH/intel-cpu-bx80571e5300,LGA775,2,3.5
//cdna.pcpartpicker.com/static/forever/images/product/c770299ed161e4589288e53b3c315088.256p.jpg,Intel Core i5-11400,6,2.6,4.4,65,Intel UHD Graphics 730,163.68,https://es.pcpartpicker.com/product/92VmP6/intel-core-i5-11400-26-ghz-6-core-processor-bx8070811400,LGA1200,31,4.9
