img_src,name,chipset,memory_GB,core_clock_MHz,boost_clock_MHz,color,length_mm,price,link,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/20f2e11eabbca0c2bc0740a93ccc16f2.256p.jpg,Asus R7240-2GD3-L,Radeon R7 240,2,730,,Black / Red,159,85.51,https://es.pcpartpicker.com/product/XyJwrH/asus-video-card-r72402gd3l,1,2
//cdna.pcpartpicker.com/static/forever/images/product/a942ac1d4371fc2be1fafc4799c90269.256p.jpg,PNY VCGGT7102XPB,GeForce GT 710,2,954,,Black,114,86,https://es.pcpartpicker.com/product/QwcMnQ/pny-video-card-vcggt7102xpb,3,4
//cdna.pcpartpicker.com/static/forever/images/product/50af1d4d41843ea4c143fff3dfbdf33b.256p.jpg,MSI GT 710 2GD3H LP,GeForce GT 710,2,954,954,Black,146,86.53,https://es.pcpartpicker.com/product/gkYWGX/msi-geforce-gt-710-2gb-low-profile-video-card-gt-710-2gd3h-lp,4,3.2
//cdna.pcpartpicker.com/static/forever/images/product/8a44fd1a6f66aa2f153e73efadf3ef47.256p.jpg,Zotac ZT-P10300A-10L,GeForce GT 1030,2,1227,1468,Black,173,90.8,https://es.pcpartpicker.com/product/b4KhP6/zotac-geforce-gt-1030-2gb-video-card-zt-p10300a-10l,1,3
//cdna.pcpartpicker.com/static/forever/images/product/3beb0bf7ba158d78c55d6b7ad77680ed.256p.jpg,Asus Phoenix Fan OC,GeForce GT 1030,2,1278,1531,Black / Blue,184,92.5,https://es.pcpartpicker.com/product/FjfmP6/asus-geforce-gt-1030-2gb-phoenix-fan-oc-video-card-ph-gt1030-o2g,4,4.8
https://m.media-amazon.com/images/I/316PlElxcuL.jpg,Zotac ZT-71113-20L,GeForce GT 730,2,902,,Black / Gold,146,92.63,https://es.pcpartpicker.com/product/GFTrxr/zotac-video-card-zt7111320l,2,4
//cdna.pcpartpicker.com/static/forever/images/product/b8e651d7ff54e0c852c4ae4e060e3204.256p.jpg,Gigabyte GV-N1030SL-2GL,GeForce GT 1030,2,1252,1506,White,175,107.02,https://es.pcpartpicker.com/product/s3YWGX/gigabyte-geforce-gt-1030-2gb-silent-low-profile-video-card-gv-n1030sl-2gl,5,5
//cdna.pcpartpicker.com/static/forever/images/product/ed0f6aeda0c69ec951635e8ed989478b.256p.jpg,Gigabyte GV-N1030D4-2GL,GeForce GT 1030 DDR4,2,1151,1417,Black,150,109.31,https://es.pcpartpicker.com/product/xC448d/gigabyte-geforce-gt-1030-ddr4-2gb-video-card-gv-n1030d4-2gl,1,3
//cdna.pcpartpicker.com/static/forever/images/product/571db55a22fe134a43422fa8835ff75a.256p.jpg,Gigabyte GV-N1030D5-2GL,GeForce GT 1030,2,1252,1506,Black,150,115.99,https://es.pcpartpicker.com/product/nRmxFT/gigabyte-geforce-gt-1030-2gb-low-profile-video-card-gv-n1030d5-2gl,9,4.2
//cdna.pcpartpicker.com/static/forever/images/product/2a68f4c0042a271492dbc6f4a23b3b89.256p.jpg,Zotac ZT-71115-20L,GeForce GT 730,4,902,,Black / Gold,,118,https://es.pcpartpicker.com/product/MHx9TW/zotac-video-card-zt7111520l,1,4
