img_src,name,speed_type,speed_frecuency,modules,price/GB,color,first_word_latency_ns,CAS_latency,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/1db47332b9c831205ea7511fd63e41f0.256p.jpg,Patriot PSD34G160081 4 GB,DDR3,1600,1 x 4GB,3.748,Green,13.75,11,14.99,https://es.pcpartpicker.com/product/n7K7YJ/patriot-memory-psd34g160081,1,5
//cdna.pcpartpicker.com/static/forever/images/product/7175c13a9aa3a2b130f05c0fdc399f6d.256p.jpg,G.Skill NS 4 GB,DDR3,1333,1 x 4GB,4.175,Black,13.503,9,16.7,https://es.pcpartpicker.com/product/yL3RsY/gskill-memory-f31333c9s4gns,1,4
https://m.media-amazon.com/images/I/41zAm9GbhnL.jpg,G.Skill NT 4 GB,DDR4,2400,1 x 4GB,5.145,Black,12.5,15,20.58,https://es.pcpartpicker.com/product/Hk648d/gskill-memory-f42400c15s4gnt,4,4.2
https://m.media-amazon.com/images/I/41VLVD5zFNL.jpg,G.Skill Value 4 GB,DDR3,1333,1 x 4GB,5.503,Green,13.503,9,22.01,https://es.pcpartpicker.com/product/Lqzv6h/gskill-memory-f310600cl9s4gbnt,3,5
https://images-eu.ssl-images-amazon.com/images/I/31Uc95pFcwL.jpg,G.Skill Value 4 GB,DDR3,1600,1 x 4GB,5.51,Green,13.75,11,22.04,https://es.pcpartpicker.com/product/Y9kD4D/gskill-memory-f31600c11s4gnt,1,5
//cdna.pcpartpicker.com/static/forever/images/product/a3cbd50ab70038737cae88535d08d1db.256p.jpg,Kingston KVR16N11S6/2 2 GB,DDR3,1600,1 x 2GB,11.35,Black / Green,13.75,11,22.7,https://es.pcpartpicker.com/product/jFBv6h/kingston-memory-kvr16n11s62,2,4.5
https://m.media-amazon.com/images/I/31ZVsKubaeL.jpg,Crucial CT51264BA160BJ 4 GB,DDR3,1600,1 x 4GB,5.688,Black / Green,13.75,11,22.75,https://es.pcpartpicker.com/product/92g323/crucial-memory-ct51264ba160bj,7,4.3
//cdna.pcpartpicker.com/static/forever/images/product/58629a9317facf03aed0e425a3214742.256p.jpg,Corsair CMV4GX3M1A1600C11 4 GB,DDR3,1600,1 x 4GB,5.747,Green,13.75,11,22.99,https://es.pcpartpicker.com/product/khfp99/corsair-memory-cmv4gx3m1a1600c11,1,5
//cdna.pcpartpicker.com/static/forever/images/product/5390c9f7aba016f79464e40ca71a994b.256p.jpg,Patriot Signature 8 GB,DDR3,1600,1 x 8GB,2.874,Black / Green,13.75,11,22.99,https://es.pcpartpicker.com/product/CnW9TW/patriot-memory-psd38g16002,1,5
https://m.media-amazon.com/images/I/31Fs9e6dy-L.jpg,Patriot Signature 8 GB,DDR3,1600,1 x 8GB,2.999,Blue / Silver,13.75,11,23.99,https://es.pcpartpicker.com/product/BwBv6h/patriot-memory-psd38g16002h,2,4.5
https://m.media-amazon.com/images/I/41COHmBoz7L.jpg,G.Skill Value 8 GB,DDR3,1600,1 x 8GB,3.039,Black,13.75,11,24.31,https://es.pcpartpicker.com/product/4sDwrH/gskill-memory-f31600c11s8gnt,5,4.4
//cdna.pcpartpicker.com/static/forever/images/product/24640a1d90bf0a7d35d18332a3aa21ff.256p.jpg,Corsair CMV4GX4M1A2133C15 4 GB,DDR4,2133,1 x 4GB,6.107,Black,14.065,15,24.43,https://es.pcpartpicker.com/product/b7PzK8/corsair-memory-cmv4gx4m1a2133c15,1,4
https://m.media-amazon.com/images/I/51xsDMUse0L.jpg,Corsair Vengeance LPX 4 GB,DDR4,2400,1 x 4GB,6.247,Black / Yellow,12.5,15,24.99,https://es.pcpartpicker.com/product/JnnG3C/corsair-memory-cmk4gx4m1a2400c14,3,5
//cdna.pcpartpicker.com/static/forever/images/product/c84303cc51030fc5cc754577baa8542b.256p.jpg,Corsair Vengeance LPX 4 GB,DDR4,2400,1 x 4GB,6.247,Black / Yellow,13.333,16,24.99,https://es.pcpartpicker.com/product/JBjWGX/corsair-memory-cmk4gx4m1a2400c16,2,5
//cdna.pcpartpicker.com/static/forever/images/product/a6e59e45a1d663e7daa43f2eb72c9b2b.256p.jpg,Crucial CT8G4DFS824A 8 GB,DDR4,2400,1 x 8GB,3.303,Green,14.167,17,26.42,https://es.pcpartpicker.com/product/pyRzK8/crucial-8gb-1-x-8gb-ddr4-2133-memory-ct8g4dfs824a,4,4.8
//cdna.pcpartpicker.com/static/forever/images/product/771821d5f2ed8a5dd915d0f14975d21a.med.256p.jpg,Corsair Mac Memory 4 GB,DDR3,1333,1 x 4GB,6.697,Black / Green,13.503,9,26.79,https://es.pcpartpicker.com/product/YNfp99/corsair-memory-cmsa4gx3m1a1333c9,1,5
https://m.media-amazon.com/images/I/41CCe2K0CpL.jpg,G.Skill Aegis 8 GB,DDR3,1600,1 x 8GB,3.366,,13.75,11,26.93,https://es.pcpartpicker.com/product/CPjG3C/gskill-memory-f31600c11s8gis,2,4
//cdna.pcpartpicker.com/static/forever/images/product/5d0e7dd0d9c208ef610f644fd7d8f5da.med.256p.jpg,Corsair CMV8GX4M1A2133C15 8 GB,DDR4,2133,1 x 8GB,3.375,Black,14.065,15,27,https://es.pcpartpicker.com/product/2XL7YJ/corsair-memory-cmv8gx4m1a2133c15,8,4.8
https://images-na.ssl-images-amazon.com/images/I/41RS6bm3zPL.jpg,Kingston KVR1333D3N9HK2/8G 8 GB,DDR3,1333,2 x 4GB,3.428,Green,13.503,9,27.42,https://es.pcpartpicker.com/product/7pTmP6/kingston-memory-kvr1333d3n9hk28g,2,5
//cdna.pcpartpicker.com/static/forever/images/product/320bd24f59d342669c910b3d88d07b7a.256p.jpg,Kingston KVR13LS9S6/2 2 GB,DDR3,1333,1 x 2GB,13.75,Black / Green,13.503,9,27.5,https://es.pcpartpicker.com/product/ZkCwrH/kingston-memory-kvr13ls9s62,1,5
https://images-na.ssl-images-amazon.com/images/I/41fnZwNLq6L.jpg,G.Skill NS 2 GB,DDR3,1333,1 x 2GB,13.995,Green,13.503,9,27.99,https://es.pcpartpicker.com/product/Lb9KHx/gskill-memory-f310600cl9s2gbns,1,3
//cdna.pcpartpicker.com/static/forever/images/product/c58439df47a52aa213bb8ae295ce399f.256p.jpg,Kingston ValueRAM 8 GB,DDR4,2666,1 x 8GB,3.544,Green / Black,14.254,19,28.35,https://es.pcpartpicker.com/product/yRVD4D/kingston-valueram-8gb-1-x-8gb-ddr4-2666-memory-kvr26n19s88,4,5
https://m.media-amazon.com/images/I/315oQw5udhL.jpg,G.Skill Aegis 8 GB,DDR4,3000,1 x 8GB,3.592,Black / Red,10.667,16,28.74,https://es.pcpartpicker.com/product/XJYWGX/gskill-aegis-8gb-1-x-8gb-ddr4-3000-memory-f4-3000c16s-8gisb,27,4.7
//cdna.pcpartpicker.com/static/forever/images/product/a605ea6152a035fa35f6f95f34ffabdc.256p.jpg,G.Skill Value 8 GB,DDR4,2400,1 x 8GB,3.656,Black,14.167,17,29.25,https://es.pcpartpicker.com/product/vYdxFT/gskill-value-8gb-1-x-8gb-ddr4-2400-memory-f4-2400c17s-8gnt,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/bbd1b5915bf30a38724666b85cca277a.256p.jpg,G.Skill Aegis 8 GB,DDR4,2133,1 x 8GB,3.712,Black / Red,14.065,15,29.7,https://es.pcpartpicker.com/product/YRvZxr/gskill-memory-f42133c15s8gis,9,4.8
//cdna.pcpartpicker.com/static/forever/images/product/af4ed9b6b8d8b2eac4d239c8783fc18a.256p.jpg,Corsair Vengeance 4 GB,DDR3,1600,1 x 4GB,7.497,Black / Yellow,11.25,9,29.99,https://es.pcpartpicker.com/product/Rnfp99/corsair-memory-cml4gx3m1a1600c9,1,5
//cdna.pcpartpicker.com/static/forever/images/product/777daceb96da84a4413c66a0b4cc8180.256p.jpg,Corsair XMS3 4 GB,DDR3,1600,1 x 4GB,7.497,Black / Blue,11.25,9,29.99,https://es.pcpartpicker.com/product/LXrG3C/corsair-memory-cmx4gx3m1a1600c9,1,5
//cdna.pcpartpicker.com/static/forever/images/product/f6e49369b7c704be33d72c33205ff29f.256p.jpg,Corsair XMS3 4 GB,DDR3,1333,1 x 4GB,7.497,Black / White,13.503,9,29.99,https://es.pcpartpicker.com/product/KGTmP6/corsair-memory-cmx4gx3m1a1333c9,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/6ed9e0759dfe76f80966d7fc0d3ad1b8.256p.jpg,Corsair Vengeance 4 GB,DDR3,1600,1 x 4GB,7.497,Black / Silver,11.25,9,29.99,https://es.pcpartpicker.com/product/gFNp99/corsair-memory-cmz4gx3m1a1600c9,14,4.4
https://m.media-amazon.com/images/I/41QG3QX5RZL.jpg,Mushkin Essentials 4 GB,DDR3,1333,1 x 4GB,7.548,Green,13.503,9,30.19,https://es.pcpartpicker.com/product/2DW9TW/mushkin-memory-991769,2,4.5
https://m.media-amazon.com/images/I/312EXCWBAlL.jpg,G.Skill Value 8 GB,DDR3,1333,1 x 8GB,3.805,Black,13.503,9,30.44,https://es.pcpartpicker.com/product/Jp6BD3/gskill-memory-f310600cl9s8gbnt,2,5
