img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
https://m.media-amazon.com/images/I/41u+-jMBZuL.jpg,Sabrent Rocket,4 TB,0.29,SSD,,M.2,M.2 PCIe 3.0 X4,1159.96,https://es.pcpartpicker.com/product/r3RgXL/sabrent-rocket-4-tb-m2-2280-nvme-solid-state-drive-sb-rocket-4tb,1,5
//cdna.pcpartpicker.com/static/forever/images/product/340060a87cb466dba877bfa1ff5c0444.256p.jpg,Seagate BarraCuda Pro,6 TB,0.184,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,1102.29,https://es.pcpartpicker.com/product/QHBrxr/seagate-internal-hard-drive-st6000dm001,1,5
https://m.media-amazon.com/images/I/31DhRSthmKL.jpg,Samsung 860 Pro,4 TB,0.274,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,1095.69,https://es.pcpartpicker.com/product/Nd97YJ/samsung-860-pro-4tb-25-solid-state-drive-mz-76p4t0bw,1,4
https://m.media-amazon.com/images/I/414gCFbFBhL.jpg,Seagate FireCuda 120,2 TB,0.443,SSD,,"2.5""",SATA 6.0 Gb/s,886.98,https://es.pcpartpicker.com/product/6BsnTW/seagate-firecuda-120-2-tb-25-solid-state-drive-za2000gm10001,3,5
https://m.media-amazon.com/images/I/414gCFbFBhL.jpg,Seagate FireCuda 120,4 TB,0.212,SSD,,"2.5""",SATA 6.0 Gb/s,849.99,https://es.pcpartpicker.com/product/jGsnTW/seagate-firecuda-120-4-tb-25-solid-state-drive-za4000gm10001,1,4
https://m.media-amazon.com/images/I/31fG43h01HL.jpg,Samsung 860 Evo,4 TB,0.196,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,782.63,https://es.pcpartpicker.com/product/Pqm323/samsung-860-evo-4tb-25-solid-state-drive-mz-76e4t0bam,15,4.8
//cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,Western Digital Black SN850X,4 TB,0.163,SSD,,M.2,M.2 PCIe 4.0 X4,651.61,https://es.pcpartpicker.com/product/yBC48d/western-digital-black-sn850x-4-tb-m2-2280-nvme-solid-state-drive-wds400t2x0e,1,5
https://m.media-amazon.com/images/I/41Q7lcrjD0L.jpg,Corsair Neutron NX500,800 GB,0.782,SSD,,PCIe,PCIe x1,625.64,https://es.pcpartpicker.com/product/gWNypg/corsair-neutron-nx500-800gb-pci-e-solid-state-drive-cssd-n800gbnx500,1,4
//cdna.pcpartpicker.com/static/forever/images/product/45bb5064d2cbc808e4be407cab78f026.256p.jpg,Seagate FireCuda 530,4 TB,0.155,SSD,,M.2,M.2 PCIe 4.0 X4,618.9,https://es.pcpartpicker.com/product/CVmmP6/seagate-firecuda-530-4-tb-m2-2280-nvme-solid-state-drive-zp4000gm3a013,1,5
https://m.media-amazon.com/images/I/41pycQnH77L.jpg,Western Digital Red,10 TB,0.06,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,603,https://es.pcpartpicker.com/product/PTKhP6/western-digital-red-10tb-35-5400rpm-internal-hard-drive-wd100efax,3,5
