web-scraper-order,web-scraper-start-url,img-src,name,type,color,power supply,side panel,price,link,link-href,rating
"1672947222-893","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/6613bb82582221c0522ee46d2752f400.256p.jpg","Fractal Design Meshify 2 XL","TypeATX Full Tower","ColorBlack","Power SupplyNone","Side PanelTinted Tempered Glass","null","Fractal Design Meshify 2 XL         (1)","https://es.pcpartpicker.com/product/f2hmP6/fractal-design-meshify-2-xl-atx-full-tower-case-fd-c-mes2x-02","(1 Rating, 4.0 Average)"
"1672947224-894","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/881902dd2132cb0c139e9b2e5c319030.256p.jpg","BGears b-Voguish","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","BGears b-Voguish         (0)","https://es.pcpartpicker.com/product/hKsnTW/bgears-b-voguish-atx-mid-tower-case-b-voguish","null"
"1672947226-895","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","https://m.media-amazon.com/images/I/312+nK+MOML.jpg","DIYPC J180","TypeATX Mid Tower","ColorWhite","Power SupplyNone","Side PanelAcrylic","null","DIYPC J180         (6)","https://es.pcpartpicker.com/product/6rDzK8/diypc-case-j180w","(6 Ratings, 4.2 Average)"
"1672947229-896","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","https://m.media-amazon.com/images/I/41EFURt04PL.jpg","Lian Li LANCOOL 205 Mesh C","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","Lian Li LANCOOL 205 Mesh C         (0)","https://es.pcpartpicker.com/product/CrzhP6/lian-li-lancool-205-mesh-c-atx-mid-tower-case-g99oe764cx00am","null"
"1672947231-897","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/8058a5658a08dbd68ed2f88ab8e70df7.256p.jpg","Cooler Master MasterCase H500","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTinted Tempered Glass","null","Cooler Master MasterCase H500         (41)","https://es.pcpartpicker.com/product/G766Mp/cooler-master-mastercase-h500-atx-mid-tower-case-mcm-h500-ignn-s00","(41 Ratings, 4.8 Average)"
"1672947233-898","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/a7091079aa7e108067274756c19f1d88.256p.jpg","Cougar MX331 MESH-X","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelNone","null","Cougar MX331 MESH-X         (0)","https://es.pcpartpicker.com/product/V8Dkcf/cougar-mx331-mesh-x-atx-mid-tower-case-mx331-mesh-x","null"
"1672947235-899","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/09fde4001812bf9feee537ce13b41a31.256p.jpg","Tecware Forge M ARGB","TypeMicroATX Mini Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","Tecware Forge M ARGB         (2)","https://es.pcpartpicker.com/product/Y4zFf7/tecware-forge-m-argb-atx-mini-tower-case-twca-forgem-bkar","(2 Ratings, 5.0 Average)"
"1672947238-900","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/ca75f5b13107e4a28b6e6919b42f8e39.256p.jpg","NZXT H710","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","NZXT H710         (13)","https://es.pcpartpicker.com/product/T2RgXL/nzxt-h710-atx-mid-tower-case-ca-h710b-b1","(13 Ratings, 4.6 Average)"
"1672947240-901","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","https://m.media-amazon.com/images/I/51CkZJio3mL.jpg","MUSETEX ‎TW8-S6 Mesh","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","MUSETEX ‎TW8-S6 Mesh         (3)","https://es.pcpartpicker.com/product/mLQcCJ/musetex-tw8-s6-mesh-atx-mid-tower-case-tw8-s6-b","(3 Ratings, 4.3 Average)"
"1672947242-902","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/de4af6bcf830b3e28f7247063e1f3e01.256p.jpg","MSI MPG GUNGNIR 120R","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","MSI MPG GUNGNIR 120R         (0)","https://es.pcpartpicker.com/product/BJrRsY/msi-mpg-gungnir-120r-atx-mid-tower-case-mpg-gungnir-120r","null"
"1672947244-903","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","https://m.media-amazon.com/images/I/41PRRVkB5nL.jpg","Cooler Master N400","TypeATX Mid Tower","ColorBlack","Power SupplyNone","Side PanelNone","null","Cooler Master N400         (12)","https://es.pcpartpicker.com/product/wNrG3C/cooler-master-case-nse400kkn2","(12 Ratings, 3.9 Average)"
"1672947247-904","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","https://m.media-amazon.com/images/I/419e+KJh3QL.jpg","Lian Li LANCOOL 205 Mesh C","TypeATX Mid Tower","ColorPink","Power SupplyNone","Side PanelTempered Glass","null","Lian Li LANCOOL 205 Mesh C         (0)","https://es.pcpartpicker.com/product/s87G3C/lian-li-lancool-205-mesh-c-atx-mid-tower-case-g99oe764cp00am","null"
"1672947249-905","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/79178469073513e53585fcde5b02001b.256p.jpg","Cooler Master MasterBox MB320L ARGB","TypeMicroATX Mini Tower","ColorBlack","Power SupplyNone","Side PanelTempered Glass","null","Cooler Master MasterBox MB320L ARGB         (14)","https://es.pcpartpicker.com/product/XVbCmG/cooler-master-masterbox-mb320l-argb-microatx-mid-tower-case-mcb-b320l-kgnn-s02","(14 Ratings, 4.1 Average)"
"1672947251-906","https://es.pcpartpicker.com/products/case/#sort=-price&page=12","//cdna.pcpartpicker.com/static/forever/images/product/bb915848273848de158bbbd9a640f8a3.256p.jpg","iBuypower Snowblind S","TypeATX Mid Tower","ColorWhite","Power SupplyNone","Side PanelTempered Glass","null","iBuypower Snowblind S         (0)","https://es.pcpartpicker.com/product/vbTp99/ibuypower-snowblind-s-atx-mid-tower-case-snowblind-s-case","null"
