web-scraper-order,web-scraper-start-url,img-src,name,core count,perfomance core clock,perfomance boost clock,tpc,integrated graphics,price,link,link-href,rating,socket1,socket2
1672944822-442,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/51qDTg+EaeL.jpg,Intel Core i7-2700K,4,3.5,null,95,Integrated GraphicsIntel HD Graphics 3000,null,Intel Core i7-2700K         (7),https://es.pcpartpicker.com/product/CNCwrH/intel-cpu-bx80623i72700k,"(7 Ratings, 4.7 Average)","Integrated Graphics


Intel HD Graphics 3000","Socket


LGA1155"
1672944824-443,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/452fefc7712153b364268a36d1674efb.256p.jpg,Intel Core i7-8086K,6,4,5,95,Integrated GraphicsIntel UHD Graphics 630,null,Intel Core i7-8086K         (17),https://es.pcpartpicker.com/product/CgqhP6/intel-core-i7-8086k-4ghz-6-core-processor-bx80684i78086k,"(17 Ratings, 4.9 Average)","Socket


LGA1151","Core Family


Coffee Lake"
1672944827-444,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,Intel Core i5-7600,4,3.5,4.1,65,Integrated GraphicsIntel HD Graphics 630,null,Intel Core i5-7600         (20),https://es.pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,"(20 Ratings, 4.8 Average)","Socket


LGA1151","Core Family


Kaby Lake-S"
1672944829-445,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/68a2d7d02408cf9854c557a10603aa8b.256p.jpg,Intel Core i5-6500,4,3.2,3.6,65,Integrated GraphicsIntel HD Graphics 530,null,Intel Core i5-6500         (0),https://es.pcpartpicker.com/product/8GcMnQ/intel-cpu-cm8066201920404,null,"Socket



LGA1151","Core Family


Skylake-S"
1672944831-446,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/7714a4b585034b6e4a3f2e230c2806f8.256p.jpg,AMD Ryzen 3 1300X,4,3.5,3.7,65,Integrated GraphicsNone,null,AMD Ryzen 3 1300X         (25),https://es.pcpartpicker.com/product/Zk2rxr/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd130xbbaebox,"(25 Ratings, 4.8 Average)","Socket


AM4","Core Family


Summit Ridge"
1672944833-447,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/fd7b679a51670fc1161384cf95ba464f.256p.jpg,AMD Ryzen 5 3600X,6,3.8,4.4,95,Integrated GraphicsNone,null,AMD Ryzen 5 3600X         (0),https://es.pcpartpicker.com/product/FCprxr/amd-ryzen-5-3600x-38-thz-6-core-oemtray-processor-100-000000022,null,"Socket


AM4","Core Family


Matisse"
1672944836-448,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/41mi7xivkCL.jpg,AMD Athlon X4 760K,4,3.8,4.1,100,Integrated GraphicsNone,null,AMD Athlon X4 760K         (50),https://es.pcpartpicker.com/product/bHdqqs/amd-cpu-ad760kwohlbox,"(50 Ratings, 4.5 Average)","Socket


FM2","Core Family


Richland"
1672944838-449,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/51RJN9DPC5L.jpg,Intel Xeon E5-4650,8,2.7,3.3,130,Integrated GraphicsNone,null,Intel Xeon E5-4650         (0),https://es.pcpartpicker.com/product/w2JwrH/intel-cpu-bx80621e54650,null,"Socket


LGA2011","Core Family


Sandy Bridge-EP"
1672944840-450,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/51rRMnzcyUL.jpg,AMD FX-8320,8,3.5,null,125,Integrated GraphicsNone,null,AMD FX-8320         (247),https://es.pcpartpicker.com/product/dmw323/amd-cpu-fd8320frhkbox,"(247 Ratings, 4.7 Average)","Integrated Graphics


None","Socket


AM3+"
1672944843-451,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/24ff507103b5ff52377621b24930dddd.256p.jpg,AMD Ryzen 9 3900X,12,3.8,4.6,105,Integrated GraphicsNone,null,AMD Ryzen 9 3900X         (0),https://es.pcpartpicker.com/product/pQ3H99/amd-ryzen-9-3900x-36-ghz-12-core-oemtray-processor-100-000000023,null,"Socket


AM4","Core Family


Matisse"
1672944845-452,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/41aRIor6+2L.jpg,AMD 5350,4,2.05,null,25,Integrated GraphicsRadeon HD 8400,null,AMD 5350         (25),https://es.pcpartpicker.com/product/VGsKHx/amd-cpu-ad5350jahmbox,"(25 Ratings, 4.7 Average)","Integrated Graphics


Radeon HD 8400","Socket


AM1"
