web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961195-1","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/319dae29c77ad8d77a67796eb1315465.256p.jpg","ASRock A320M-HDV R4.0","Socket / CPUAM4","Form FactorMicro ATX","32","2","ColorBlack / White","null","ASRock A320M-HDV R4.0         (4)","https://es.pcpartpicker.com/product/gtPKHx/asrock-a320m-hdv-r40-micro-atx-am4-motherboard-a320m-hdv-r40","(4 Ratings, 4.2 Average)"
"1672961198-2","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/d16e04d394d588e9045d587653cad761.256p.jpg","Asus ROG Strix B450-I Gaming","Socket / CPUAM4","Form FactorMini ITX","64","2","ColorBlack / Silver","null","Asus ROG Strix B450-I Gaming         (60)","https://es.pcpartpicker.com/product/kbx2FT/asus-rog-strix-b450-i-gaming-mini-itx-am4-motherboard-strix-b450-i-gaming","(60 Ratings, 4.6 Average)"
"1672961200-3","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/ba476e86b8d9bbdbc94cd3b59ade76aa.256p.jpg","Gigabyte B450M DS3H WIFI","Socket / CPUAM4","Form FactorMicro ATX","64","4","ColorBrown / Black","null","Gigabyte B450M DS3H WIFI         (11)","https://es.pcpartpicker.com/product/HQVG3C/gigabyte-b450m-ds3h-wifi-micro-atx-am4-motherboard-b450m-ds3h-wifi","(11 Ratings, 3.9 Average)"
"1672961202-4","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/e2424c4cee2b26ab9066cbcc7e236766.256p.jpg","Gigabyte TRX40 AORUS XTREME","Socket / CPUsTRX4","Form FactorXL ATX","256","8","ColorBlack / Silver","null","Gigabyte TRX40 AORUS XTREME         (0)","https://es.pcpartpicker.com/product/Wkwkcf/gigabyte-trx40-aorus-xtreme-xl-atx-strx4-motherboard-trx40-aorus-xtreme","null"
"1672961205-5","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/61-3Dc+m9DL.jpg","MSI B450 Gaming Plus MAX","Socket / CPUAM4","Form FactorATX","128","4","ColorRed / Black","null","MSI B450 Gaming Plus MAX         (35)","https://es.pcpartpicker.com/product/BHBhP6/msi-b450-gaming-plus-max-atx-am4-motherboard-b450-gaming-plus-max","(35 Ratings, 4.6 Average)"
"1672961207-6","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/79687dad482d6163f14752ea4764c5f2.256p.jpg","Asus ROG STRIX Z790-E GAMING WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","null","Asus ROG STRIX Z790-E GAMING WIFI         (1)","https://es.pcpartpicker.com/product/2YM48d/asus-rog-strix-z790-e-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-e-gaming-wifi","(1 Rating, 4.0 Average)"
"1672961209-7","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/08c85837e3736c855a86c6bbbe7fd31c.256p.jpg","Asus ROG STRIX B550-I GAMING","Socket / CPUAM4","Form FactorMini ITX","64","2","ColorBlack","null","Asus ROG STRIX B550-I GAMING         (60)","https://es.pcpartpicker.com/product/XBH8TW/asus-rog-strix-b550-i-gaming-mini-itx-am4-motherboard-rog-strix-b550-i-gaming","(60 Ratings, 4.3 Average)"
"1672961212-8","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/0a8a0ca77620c63b68fec6323537d50a.256p.jpg","MSI B450 TOMAHAWK MAX","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack","null","MSI B450 TOMAHAWK MAX         (228)","https://es.pcpartpicker.com/product/jcYQzy/msi-b450-tomahawk-max-atx-am4-motherboard-b450-tomahawk-max","(228 Ratings, 4.6 Average)"
"1672961214-9","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg","Asus TUF GAMING B650-PLUS WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","null","Asus TUF GAMING B650-PLUS WIFI         (2)","https://es.pcpartpicker.com/product/Pz2WGX/asus-tuf-gaming-b650-plus-wifi-atx-am5-motherboard-tuf-gaming-b650-plus-wifi","(2 Ratings, 5.0 Average)"
"1672961216-10","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg","MSI PRO B550M-VC WIFI","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack","null","MSI PRO B550M-VC WIFI         (5)","https://es.pcpartpicker.com/product/tr4Ycf/msi-pro-b550m-vc-wifi-micro-atx-am4-motherboard-pro-b550m-vc-wifi","(5 Ratings, 4.8 Average)"
"1672961218-11","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/51G+lOc7dEL.jpg","Asus TUF GAMING B550-PLUS WIFI II","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Gray","null","Asus TUF GAMING B550-PLUS WIFI II         (7)","https://es.pcpartpicker.com/product/pLNxFT/asus-tuf-gaming-b550-plus-wifi-ii-atx-am4-motherboard-tuf-gaming-b550-plus-wifi-ii","(7 Ratings, 4.9 Average)"
"1672961221-12","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/001b11e828cffd833e978f7a0d9cf4d1.256p.jpg","Gigabyte B550 AORUS ELITE AX V2","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","null","Gigabyte B550 AORUS ELITE AX V2         (18)","https://es.pcpartpicker.com/product/Vb3mP6/gigabyte-b550-aorus-elite-ax-v2-atx-am4-motherboard-b550aorus-elite-axv2","(18 Ratings, 4.4 Average)"
"1672961223-13","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/e28f66dd08c38303d9936eb7ad61e820.256p.jpg","MSI MEG X670E GODLIKE","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack","1652.90","MSI MEG X670E GODLIKE         (0)","https://es.pcpartpicker.com/product/kjmmP6/msi-meg-x670e-godlike-eatx-am5-motherboard-meg-x670e-godlike","null"
"1672961225-14","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/7d4d7c7fab393fed25a5fc13777260fe.256p.jpg","MSI MEG Z790 GODLIKE","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1564.00","MSI MEG Z790 GODLIKE         (0)","https://es.pcpartpicker.com/product/Q93gXL/msi-meg-z790-godlike-eatx-lga1700-motherboard-meg-z790-godlike","null"
"1672961228-15","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/41rPmbvqLpL.jpg","Asus ROG MAXIMUS Z690 EXTREME","Socket / CPULGA1700","Form FactorEATX","128","4","Color","1243.89","Asus ROG MAXIMUS Z690 EXTREME         (1)","https://es.pcpartpicker.com/product/sNWzK8/asus-rog-maximus-z690-extreme-eatx-lga1700-motherboard-rog-maximus-z690-extreme","(1 Rating, 3.0 Average)"
"1672961230-16","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/ddbc51f12fde98ab45ca8f9b42bd8c3f.256p.jpg","Gigabyte Z690 AORUS XTREME","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1121.06","Gigabyte Z690 AORUS XTREME         (0)","https://es.pcpartpicker.com/product/6wjBD3/gigabyte-z690-aorus-xtreme-eatx-lga1700-motherboard-z690-aorus-xtreme","null"
"1672961232-17","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/879487c4a8edbf36caa7271342e4911d.256p.jpg","Asus ROG CROSSHAIR X670E EXTREME","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack / Silver","1024.77","Asus ROG CROSSHAIR X670E EXTREME         (1)","https://es.pcpartpicker.com/product/MXjBD3/asus-rog-crosshair-x670e-extreme-eatx-am5-motherboard-rog-crosshair-x670e-extreme","(1 Rating, 5.0 Average)"
"1672961235-18","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/0bdeb76dab36d2c0f3871d8000f30052.256p.jpg","Asus ROG MAXIMUS Z790 EXTREME","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1019.78","Asus ROG MAXIMUS Z790 EXTREME         (0)","https://es.pcpartpicker.com/product/g36p99/asus-rog-maximus-z790-extreme-eatx-lga1700-motherboard-rog-maximus-z790-extreme","null"
"1672961237-19","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/8cb6c0703f29f646c3ba084b174f78e7.256p.jpg","MSI MEG X670E ACE","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack / Gold","945.90","MSI MEG X670E ACE         (0)","https://es.pcpartpicker.com/product/H4xRsY/msi-meg-x670e-ace-eatx-am5-motherboard-meg-x670e-ace","null"
"1672961239-20","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/f9fccd20c6c786f358e020244f02cc00.256p.jpg","Asus ROG Maximus XIII Extreme","Socket / CPULGA1200","Form FactorEATX","128","4","ColorSilver / Black","929.77","Asus ROG Maximus XIII Extreme         (0)","https://es.pcpartpicker.com/product/txYmP6/asus-rog-maximus-xiii-extreme-eatx-lga1200-motherboard-rog-maximus-xiii-extreme","null"
"1672961242-21","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/51ccnhlDCCL.jpg","EVGA Z690 CLASSIFIED","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack / Silver","928.64","EVGA Z690 CLASSIFIED         (0)","https://es.pcpartpicker.com/product/4bQcCJ/evga-z690-classified-eatx-lga1700-motherboard-121-al-e698-kr","null"
"1672961244-22","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/4375b990c907b011007124f9f15b68eb.256p.jpg","Asus WS X299 SAGE/10G","Socket / CPULGA2066","Form FactorSSI CEB","128","8","ColorBlack / Silver","893.63","Asus WS X299 SAGE/10G         (0)","https://es.pcpartpicker.com/product/grndnQ/asus-ws-x299-sage10g-ssi-ceb-lga2066-motherboard-ws-x299-sage10g","null"
"1672961246-23","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/395eeeedb91f11ec7edfa40688f8f75c.256p.jpg","Asus Pro WS X299 SAGE II","Socket / CPULGA2066","Form FactorSSI CEB","256","8","ColorBlack / Silver","886.00","Asus Pro WS X299 SAGE II         (0)","https://es.pcpartpicker.com/product/zbgQzy/asus-pro-ws-x299-sage-ii-ssi-ceb-lga2066-motherboard-pro-ws-x299-sage-ii","null"
"1672961248-24","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/da2413c76d82ff59705e35c361abdc93.256p.jpg","MSI MEG Z590 GODLIKE","Socket / CPULGA1200","Form FactorEATX","128","4","ColorBlack / Silver","876.00","MSI MEG Z590 GODLIKE         (0)","https://es.pcpartpicker.com/product/KjXJ7P/msi-meg-z590-godlike-eatx-lga1200-motherboard-meg-z590-godlike","null"
"1672961251-25","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/329ba627cbd8de5d7fa1d0b5d9a06fb5.256p.jpg","Asus ROG MAXIMUS IX EXTREME","Socket / CPULGA1151","Form FactorEATX","64","4","ColorBlack / Red","855.00","Asus ROG MAXIMUS IX EXTREME         (1)","https://es.pcpartpicker.com/product/rTKhP6/asus-rog-maximus-ix-extreme-eatx-lga1151-motherboard-maximus-ix-extreme","(1 Rating, 4.0 Average)"
"1672961253-26","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/b6a544cdc9c56b5b1fa513b7c1dc08fc.256p.jpg","Asus ROG MAXIMUS Z690 FORMULA","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","853.38","Asus ROG MAXIMUS Z690 FORMULA         (2)","https://es.pcpartpicker.com/product/cKGbt6/asus-rog-maximus-z690-formula-atx-lga1700-motherboard-rog-maximus-z690-formula","(2 Ratings, 5.0 Average)"
