web-scraper-order,web-scraper-start-url,img-src,name,type,efficiency rating,wattage,modular,color,price,link,link-href,rating
"1672962917-701","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","https://images-na.ssl-images-amazon.com/images/I/41z3I3BNcfL.jpg","Corsair TX550M Gold","TypeATX","Efficiency Rating80+ Gold","Wattage550 W","ModularSemi","Color","null","Corsair TX550M Gold         (64)","https://es.pcpartpicker.com/product/dDH48d/corsair-txm-gold-550w-80-gold-certified-semi-modular-atx-power-supply-cp-9020133-na","(64 Ratings, 4.8 Average)"
"1672962919-702","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/130c0298ab162cc5c52acc796d959aab.256p.jpg","Corsair VS600 (2020)","TypeATX","Efficiency Rating80+ Bronze","Wattage600 W","ModularNo","ColorBlack","null","Corsair VS600 (2020)         (1)","https://es.pcpartpicker.com/product/zXcG3C/corsair-vs600-2020-600-w-80-bronze-certified-atx-power-supply-cp-9020224-na","(1 Rating, 4.0 Average)"
"1672962922-703","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","https://m.media-amazon.com/images/I/410h-CQ1v0S.jpg","EVGA SuperNOVA 850 GM","TypeSFX","Efficiency Rating80+ Gold","Wattage850 W","ModularFull","ColorBlack","null","EVGA SuperNOVA 850 GM         (6)","https://es.pcpartpicker.com/product/pt3gXL/evga-supernova-gm-850-w-80-gold-certified-fully-modular-sfx-power-supply-123-gm-0850-x1","(6 Ratings, 4.7 Average)"
"1672962924-704","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/fa07f378e67cc4bf3a6d7cd2600338ae.256p.jpg","Thermaltake Toughpower","TypeATX","Efficiency Rating80+ Gold","Wattage750 W","ModularSemi","Color","null","Thermaltake Toughpower         (31)","https://es.pcpartpicker.com/product/MVrG3C/thermaltake-power-supply-pstpd0750mpcgus1","(31 Ratings, 4.6 Average)"
"1672962926-705","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/dbcc01d16fe6fb17f09bc5e55c3e38ae.256p.jpg","MSI MEG Ai1300P PCIE5","TypeATX","Efficiency Rating80+ Platinum","Wattage1300 W","ModularFull","ColorBlack / Copper","null","MSI MEG Ai1300P PCIE5         (0)","https://es.pcpartpicker.com/product/JDGbt6/msi-meg-ai1300p-pcie5-1300-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1300p-pcie5","null"
"1672962929-706","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/73bfc08ebedbbebd39d7967a51a4f881.256p.jpg","EVGA SuperNOVA 650 GT","TypeATX","Efficiency Rating80+ Gold","Wattage650 W","ModularFull","ColorBlack","null","EVGA SuperNOVA 650 GT         (5)","https://es.pcpartpicker.com/product/49VG3C/evga-supernova-650-gt-650-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-0650-y1","(5 Ratings, 4.6 Average)"
"1672962931-707","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/dd4747b9744859df33da31b9156fba02.256p.jpg","EVGA SuperNOVA 1000 G+","TypeATX","Efficiency Rating80+ Gold","Wattage1000 W","ModularFull","ColorBlack","null","EVGA SuperNOVA 1000 G+         (16)","https://es.pcpartpicker.com/product/kqHRsY/evga-supernova-1000-g-1000-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-1000-x1","(16 Ratings, 5.0 Average)"
"1672962933-708","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","https://m.media-amazon.com/images/I/41ed4JkzNzL.jpg","NZXT C1000 (2022)","TypeATX","Efficiency Rating80+ Gold","Wattage1000 W","ModularFull","ColorBlack","null","NZXT C1000 (2022)         (1)","https://es.pcpartpicker.com/product/43JgXL/nzxt-c-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us","(1 Rating, 4.0 Average)"
"1672962936-709","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/19cf9b2fdda8760cb9d0f4119e780b9a.256p.jpg","Asus ROG Strix","TypeATX","Efficiency Rating80+ Gold","Wattage850 W","ModularFull","ColorWhite","null","Asus ROG Strix         (7)","https://es.pcpartpicker.com/product/MGzFf7/asus-rog-strix-850-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-850g-white","(7 Ratings, 3.7 Average)"
"1672962938-710","https://es.pcpartpicker.com/products/power-supply/#sort=-price&page=5","https://m.media-amazon.com/images/I/51BVjb7JUsL.jpg","Thermaltake Smart","TypeATX","Efficiency Rating80+","Wattage700 W","ModularNo","Color","null","Thermaltake Smart         (17)","https://es.pcpartpicker.com/product/b8Jkcf/thermaltake-smart-700w-80-certified-semi-modular-atx-power-supply-ps-spd-0700npcwus-w","(17 Ratings, 4.1 Average)"
