web-scraper-order,web-scraper-start-url,img-src,name,speed,modules,price/GB,color,First Word Latency,CAS latency,price,link,link-href,rating
"1672964233-1201","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://images-na.ssl-images-amazon.com/images/I/41%2B2%2B5suuAL.jpg","Crucial CT4K32G4LFQ4213 128 GB","SpeedDDR4-2133","Modules4 x 32GB","Price / GB","ColorBlack / Green","First Word Latency14.065 ns","CAS Latency15","null","Crucial CT4K32G4LFQ4213 128 GB         (0)","https://es.pcpartpicker.com/product/xzKhP6/crucial-memory-ct4k32g4lfq4213","null"
"1672964235-1202","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/af731c03b328ecb97a7a2b1ce6b7d493.256p.jpg","Crucial CT16G4DFD832A 16 GB","SpeedDDR4-3200","Modules1 x 16GB","Price / GB","ColorGreen / Black","First Word Latency13.75 ns","CAS Latency22","null","Crucial CT16G4DFD832A 16 GB         (0)","https://es.pcpartpicker.com/product/BD66Mp/crucial-16-gb-1-x-16-gb-ddr4-3200-memory-ct16g4dfd832a","null"
"1672964237-1203","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/4cfa024bd7a1139c40785a2ce59cb4b4.256p.jpg","TEAMGROUP Elite 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency13.75 ns","CAS Latency22","null","TEAMGROUP Elite 32 GB         (1)","https://es.pcpartpicker.com/product/wnbCmG/team-elite-32-gb-2-x-16-gb-ddr4-3200-cl22-memory-ted432g3200c22dc01","(1 Rating, 5.0 Average)"
"1672964239-1204","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/78180d9227fed723642bea4d936e33ac.256p.jpg","ADATA XPG SPECTRIX D41 16 GB","SpeedDDR4-3000","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10.667 ns","CAS Latency16","null","ADATA XPG SPECTRIX D41 16 GB         (9)","https://es.pcpartpicker.com/product/krPKHx/adata-xpg-spectrix-d41-16gb-2-x-8gb-ddr4-3000-memory-ax4u300038g16-dt41","(9 Ratings, 4.3 Average)"
"1672964242-1205","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/c61d03fc228fefd6c496ff2b76eaf0c1.256p.jpg","Mushkin Redline Lumina 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency7.778 ns","CAS Latency14","null","Mushkin Redline Lumina 16 GB         (0)","https://es.pcpartpicker.com/product/cXD7YJ/mushkin-redline-lumina-16-gb-2-x-8-gb-ddr4-3600-cl14-memory-mla4c360ekkt8gx2","null"
"1672964244-1206","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/bd1c95d7f8eab185747c3248c520d608.256p.jpg","Silicon Power XPOWER Turbine 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorBlue","First Word Latency10 ns","CAS Latency16","null","Silicon Power XPOWER Turbine 32 GB         (0)","https://es.pcpartpicker.com/product/2LMTwP/silicon-power-xpower-turbine-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320fda","null"
"1672964246-1207","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/355982eabc8cc1a72b7ff1a224eed629.256p.jpg","OLOy WarHawk RGB 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack / White","First Word Latency10 ns","CAS Latency18","null","OLOy WarHawk RGB 16 GB         (10)","https://es.pcpartpicker.com/product/qQzFf7/oloy-warhawk-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-md4u083618beda","(10 Ratings, 4.7 Average)"
"1672964249-1208","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/6816dee50e0e0ee49dc61870ffbdb79b.256p.jpg","Kingston HyperX Fury 16 GB","SpeedDDR4-2666","Modules1 x 16GB","Price / GB","ColorBlack","First Word Latency12.003 ns","CAS Latency16","null","Kingston HyperX Fury 16 GB         (2)","https://es.pcpartpicker.com/product/3Pwkcf/kingston-hyperx-fury-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-hx426c16fb316","(2 Ratings, 4.5 Average)"
"1672964251-1209","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/7698f2d9a01576c4fadc9e76feae642c.256p.jpg","Crucial Ballistix RGB 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorWhite","First Word Latency8.889 ns","CAS Latency16","null","Crucial Ballistix RGB 16 GB         (18)","https://es.pcpartpicker.com/product/WPvqqs/crucial-ballistix-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-bl2k8g36c16u4wl","(18 Ratings, 4.8 Average)"
"1672964253-1210","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/41uKZrwnFjL.jpg","OLOy Blade RGB 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10 ns","CAS Latency16","null","OLOy Blade RGB 16 GB         (0)","https://es.pcpartpicker.com/product/js8bt6/oloy-blade-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-md4u0832162brkde","null"
"1672964256-1211","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/8ca8bf9040a74f567b633b5b538d641c.256p.jpg","Crucial Ballistix Sport LT 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorSilver / Black","First Word Latency10 ns","CAS Latency16","null","Crucial Ballistix Sport LT 16 GB         (22)","https://es.pcpartpicker.com/product/gLGxFT/crucial-ballistix-sport-lt-16-gb-2-x-8-gb-ddr4-3200-memory-bls2k8g4d32aesbk","(22 Ratings, 4.9 Average)"
"1672964258-1212","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/316bGofzF+S.jpg","Patriot Viper Elite II 16 GB","SpeedDDR4-2666","Modules1 x 16GB","Price / GB","ColorRed / Black","First Word Latency12.003 ns","CAS Latency16","null","Patriot Viper Elite II 16 GB         (0)","https://es.pcpartpicker.com/product/gH3gXL/patriot-viper-elite-ii-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-pve2416g266c6","null"
