web-scraper-order,web-scraper-start-url,img-src,name,capacity,price/GB,type,cache,form factor,interface,price,link,link-href,rating
"1673015047-1","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31KeULdwSLL.jpg","Mushkin Source HC","Capacity16 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Mushkin Source HC         (0)","https://es.pcpartpicker.com/product/zxVmP6/mushkin-source-hc-16-tb-25-solid-state-drive-mknssdhc16tb","null"
"1673015049-2","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg","Samsung 960 Evo","Capacity250 GB","Price / GB","TypeSSD","Cache512 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Samsung 960 Evo         (187)","https://es.pcpartpicker.com/product/ZNBrxr/samsung-960-evo-250gb-m2-2280-solid-state-drive-mz-v6e250","(187 Ratings, 4.9 Average)"
"1673015052-3","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41JzcZEvqvL.jpg","Seagate FireCuda","Capacity2 TB","Price / GB","TypeHybrid","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Seagate FireCuda         (48)","https://es.pcpartpicker.com/product/zk7CmG/seagate-firecuda-2tb-25-5400rpm-internal-hard-drive-st2000lx001","(48 Ratings, 4.5 Average)"
"1673015054-4","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/567dfd409067c0a10aa67fc3c720c46d.256p.jpg","TEAMGROUP MP33","Capacity128 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","TEAMGROUP MP33         (3)","https://es.pcpartpicker.com/product/jWtKHx/team-mp33-128-gb-m2-2280-nvme-solid-state-drive-tm8fp6128g0c101","(3 Ratings, 5.0 Average)"
"1673015056-5","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41qAE4r0DwL.jpg","Inland QN322","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Inland QN322         (0)","https://es.pcpartpicker.com/product/Z93gXL/inland-qn322-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-1tb-qn322-nvme","null"
"1673015059-6","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/414Xk3P3TqL.jpg","Silicon Power A55","Capacity256 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 SATA","null","Silicon Power A55         (0)","https://es.pcpartpicker.com/product/mK97YJ/silicon-power-a55-256-gb-m2-2280-solid-state-drive-su256gbss3a55m28ab","null"
"1673015061-7","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/e1e5d63ef20b27baebcfe83411be60da.256p.jpg","Seagate IronWolf NAS","Capacity14 TB","Price / GB","Type7200 RPM","Cache256 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","null","Seagate IronWolf NAS         (1)","https://es.pcpartpicker.com/product/pBHRsY/seagate-ironwolf-14tb-35-7200rpm-internal-hard-drive-st14000vn0008","(1 Rating, 5.0 Average)"
"1673015063-8","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31OUniJjN+L.jpg","Samsung 860 Evo","Capacity250 GB","Price / GB","TypeSSD","Cache512 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 860 Evo         (84)","https://es.pcpartpicker.com/product/sNc48d/samsung-860-evo-250gb-25-solid-state-drive-mz-76e250bam","(84 Ratings, 4.8 Average)"
"1673015065-9","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41yDYBqpRCS.jpg","TEAMGROUP AX2","Capacity512 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","TEAMGROUP AX2         (1)","https://es.pcpartpicker.com/product/QdH7YJ/team-ax2-512-gb-25-solid-state-drive-t253a3512g0c101","(1 Rating, 5.0 Average)"
"1673015068-10","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","/static/forever/img/no-image.png","Samsung 990 Pro w/Heatsink","Capacity4 TB","Price / GB","TypeSSD","Cache4096 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","Samsung 990 Pro w/Heatsink         (0)","https://es.pcpartpicker.com/product/VWxRsY/samsung-990-pro-heatsink-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0cw","null"
"1673015070-11","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/0b30f1e41d26628bd3d0232ba6a2b6ac.256p.jpg","MSI SPATIUM M390","Capacity500 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","MSI SPATIUM M390         (0)","https://es.pcpartpicker.com/product/gp6p99/msi-spatium-m390-500-gb-m2-2280-nvme-solid-state-drive-sm390n500","null"
"1673015072-12","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/1cf7a6ffcd8a02ac129d3ad1b2f56f00.256p.jpg","Silicon Power SU128GBSS3A55S25AE","Capacity128 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Silicon Power SU128GBSS3A55S25AE         (12)","https://es.pcpartpicker.com/product/3GXnTW/silicon-power-128gb-25-solid-state-drive-su128gbss3a55s25ae","(12 Ratings, 4.6 Average)"
"1673015075-13","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41bVN1EMxFL.jpg","Sabrent Rocket Q","Capacity8 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Sabrent Rocket Q         (2)","https://es.pcpartpicker.com/product/qdPgXL/sabrent-rocket-q-8-tb-m2-2280-nvme-solid-state-drive-sb-rktq-8tb","(2 Ratings, 5.0 Average)"
"1673015077-14","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41oSTESsn9L.jpg","Silicon Power P34A80","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Silicon Power P34A80         (16)","https://es.pcpartpicker.com/product/VXyqqs/silicon-power-p34a80-1-tb-m2-2280-nvme-solid-state-drive-su001tbp34a80m28ab","(16 Ratings, 4.8 Average)"
"1673015079-15","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/881bf7624b22b2724a28c53ef21bfaa0.256p.jpg","Intel 750","Capacity1.2 TB","Price / GB","TypeSSD","Cache","Form FactorPCIe","InterfacePCIe x4","null","Intel 750         (0)","https://es.pcpartpicker.com/product/x9Wrxr/intel-internal-hard-drive-ssdpedmw012t401","null"
